Speaker	Birth
AGIRRE GARITAONANDIA	1968
AGIRRE LÓPEZ	1951
AGIRREZABALA MANTXOLA	1959
AGUIRRE ARIZMENDI	1957
AIARTZA ZALLO	1964
ALBIZUA URRUTIKOETXEA	1963
ALDAITURRIAGA ZORROZUA	1955
ALONSO ARANEGUI	1967
ANDUEZA LORENZO	1979
ARANA VARAS	1971
ARARTEKOAK (Lamarca Iturbe)	1959
ARARTEKOAK (Lezertua Rodríguez)	1957
ARES TABOADA	1954
ARIETA-ARAUNABEÑA IBARZABAL	1954
ARRAIZ BARBADILLO	1973
ARREGI ROMARATE	1970
ARRIOLA LÓPEZ	1959
ARRIZABALAGA ARRUZA	1981
ARRIZABALAGA OLAIZOLA	1967
ARRONDO ALDASORO	1956
ARRUABARRENA AZPITARTE	1986
ARZUAGA GUMUZIO	1972
AZKUE MANTEROLA	1953
Agirre Garitaonandia, Jasone	1968
Agirre Lóopez, Xabier	1951
Agirrezabala Mantxola, Juanjo	1959
Aguirre Arizmendi, Iñaki	1957
Aiartza Zallo, Jon	1964
Aldaiturriaga Zorrozua, Norberto	1955
Aldasoro Iturbe, Aitor	1967
Alonso Aranegui, Alfonso	1967
Alonso Martín, Alberto	1976
Andueza Lorenzo, Eneko	1979
Angulo García, Gustavo	1979
Arana Varas, Eukene	1971
Ares Taboada, Rodolfo	1954
Arraiz Barbadillo, Hasier	1973
Arregi Romarate, Amaia	1970
Arrese Otegi, Ikoitz	
Arriola López, Iñaki	1959
Arrizabalaga Arruza, Leixuri	1981
Arrizabalaga Olaizola, María Eugenia	1967
Arrondo Aldasoro, Belen	1956
Arruabarrena Azpitarte, Mikel	
Artolazabal Albeniz, Beatriz	1970
Arzuaga Gumuzio, Julen	1972
Atutxa Sainz, Jon Andoni	1970
Azkue Manterola, Jon	
Azpiazu Uriarte, Pedro	1957
BARRIO BAROJA	1960
BASAGOITI PASTOR	1969
BECERRA CAROLLO	1969
BEITIALARRANGOITIA LIZARRALDE	1968
BERASALUZE LAZKANO	1968
BERRIOZABAL BÓVEDA	1982
BETOLAZA SAN MIGUEL	1960
BIDEGUREN GABANTXO	1979
BLANCO DE ANGULO	1973
BOLLAIN URBIETA	1990
BREÑAS GONZÁLEZ DE ZÁRATE	1969
Barrio Baroja, Carmelo	1960
Becerra Carollo, Jose Ramon	1969
Beitialarrangoitia Lizarralde, Maria Angeles	1968
Beltrán de Heredia Arroniz, Estefania	1960
Berasaluze Lazkano, Irune	1968
Berriozabal Bóveda, Jone	1982
Berrojalbiz Zabala, Itxaso	1986
Betolaza San Miguel, Amaia	1965
Bideguren Gabantxo, Idurre	1979
Bildarratz Sorron, Jokin	1963
Blanco De Angulo, Eva	1973
Bollain Urbieta, Julen	1990
Breñas González de Zárate, Estitxu	
CARRO IGLESIAS	1959
CASADO ABELLA (Arabako Biltzar Nagusien prokuradorea)	
CASANOVA ALONSO	1972
CASTELO DE SA	1969
CELAÁ DIÉGUEZ	1949
CORCUERA LEUNDA	1963
CORRALES GOTI	1975
Carro Iglesias, Francisco Javier	1969
Casanova Alonso, Iker	
Castelo de Sa, Alexia	1969
Celaá Diéguez, María Isabel	1949
Corcuera Leunda, Susana	1963
Corrales Goti, Leire	1975
DAMBORENEA BASTERRECHEA	1960
DE BENGOECHEA ESTRADE	1954
Damborenea Basterretxea, Antonio	1960
Darpón Sierra, Jon	1959
De Bengoechea Estrade, Juana	
DÍEZ ANTXUSTEGI	1992
Díez, Antxustegi	1992
EGIBAR ARTOLA	1959
EKONOMIAREN GARAPENA ETA LEHIAKORTASUNEKO SAILBURUAK (Tapia Otaegui)	1963
ELA	
ELOLA AZPEITIA	1956
ENPLEGU ETA GIZARTE POLITIKAKO SAILBURUAK (Aburto Rique)	1961
ENPLEGU ETA GIZARTE POLITIKETAKO SAILBURUAK (Artolazabal Albeniz)	1970
ENPLEGU ETA GIZARTE POLITIKETAKO SAILBURUAK (Toña Guenaga)	1952
ERQUIAGA AGUIRRE (Arabako Biltzar Nagusien prokuradorea)	
ESTARRONA ELIZONDO	1981
ETXEBARRIETA LEGRAND	1987
ETXEBERRIA ARANBURU	1967
ETXEBERRIA IRADI	1977
Egibar Artola, Joseba	1959
Elola Azpeitia, Patxi	1956
Erkoreka Gervasio, Josu	1960
Estarrona Elizondo, Josu	1981
Etxebarria Astondoa, Itxaso	1973
Etxebarrieta Legrand, Oihana	1987
Etxeberria Iradi, Lur	1977
FRESNO ASENSIO	1963
Fernandez de Betoño Saenz de Lacuesta, Unai	1977
Fresno Asensio, Rosa	1963
GALLASTEGUI OYARZÁBAL	1961
GALVEZ LAVIN (Arabako Biltzar Nagusien prokuradorea)	
GARCÍA LARRIMBE	
GARRIDO KNÖRR	1970
GOIRIZELAIA ORDORIKA	1956
GOROSPE ELEZKANO	1969
GRAJALES RODRÍGUEZ	1978
GUANCHE SUÁREZ	1982
GURRUTXAGA URANGA	1996
