Speaker	Gender
AGIRRE GARITAONANDIA	E
AGIRRE LÓPEZ	G
AGIRREZABALA MANTXOLA	G
AGUIRRE ARIZMENDI	G
AIARTZA ZALLO	G
ALBIZUA URRUTIKOETXEA	E
ALDAITURRIAGA ZORROZUA	G
ALONSO ARANEGUI	G
ANDUEZA LORENZO	G
ARANA VARAS	E
ARARTEKOAK (Lamarca Iturbe)	G
ARARTEKOAK (Lezertua Rodríguez)	G
ARES TABOADA	G
ARIETA-ARAUNABEÑA IBARZABAL	G
ARRAIZ BARBADILLO	G
ARREGI ROMARATE	E
ARRIOLA LÓPEZ	G
ARRIZABALAGA ARRUZA	E
ARRIZABALAGA OLAIZOLA	E
ARRONDO ALDASORO	E
ARRUABARRENA AZPITARTE	G
ARZUAGA GUMUZIO	G
AZKUE MANTEROLA	G
Agirre Garitaonandia, Jasone	E
Agirre Lóopez, Xabier	G
Agirrezabala Mantxola, Juanjo	G
Aguirre Arizmendi, Iñaki	G
Aiartza Zallo, Jon	G
Aldaiturriaga Zorrozua, Norberto	G
Aldasoro Iturbe, Aitor	G
Alonso Aranegui, Alfonso	G
Alonso Martín, Alberto	G
Andueza Lorenzo, Eneko	G
Angulo García, Gustavo	G
Arana Varas, Eukene	E
Ares Taboada, Rodolfo	G
Arraiz Barbadillo, Hasier	G
Arregi Romarate, Amaia	E
Arrese Otegi, Ikoitz	G
Arriola López, Iñaki	G
Arrizabalaga Arruza, Leixuri	E
Arrizabalaga Olaizola, María Eugenia	E
Arrondo Aldasoro, Belen	E
Arruabarrena Azpitarte, Mikel	G
Artolazabal Albeniz, Beatriz	E
Arzuaga Gumuzio, Julen	G
Atutxa Sainz, Jon Andoni	G
Azkue Manterola, Jon	G
Azpiazu Uriarte, Pedro	G
BARRIO BAROJA	G
BASAGOITI PASTOR	G
BECERRA CAROLLO	G
BEITIALARRANGOITIA LIZARRALDE	E
BERASALUZE LAZKANO	E
BERRIOZABAL BÓVEDA	E
BETOLAZA SAN MIGUEL	E
BIDEGUREN GABANTXO	E
BLANCO DE ANGULO	E
BOLLAIN URBIETA	G
BREÑAS GONZÁLEZ DE ZÁRATE	E
Barrio Baroja, Carmelo	G
Becerra Carollo, Jose Ramon	G
Beitialarrangoitia Lizarralde, Maria Angeles	E
Beltrán de Heredia Arroniz, Estefania	E
Berasaluze Lazkano, Irune	E
Berriozabal Bóveda, Jone	E
Berrojalbiz Zabala, Itxaso	E
Betolaza San Miguel, Amaia	E
Bideguren Gabantxo, Idurre	E
Bildarratz Sorron, Jokin	G
Blanco De Angulo, Eva	E
Bollain Urbieta, Julen	G
Breñas González de Zárate, Estitxu	E
CARRO IGLESIAS	G
CASADO ABELLA (Arabako Biltzar Nagusien prokuradorea)	G
CASANOVA ALONSO	G
CASTELO DE SA	E
CELAÁ DIÉGUEZ	E
CORCUERA LEUNDA	E
CORRALES GOTI	E
