Speaker	Party
AGIRRE GARITAONANDIA	EH Bildu
AGIRRE LÓPEZ	EAJ
AGIRREZABALA MANTXOLA	EH Bildu
AGUIRRE ARIZMENDI	EAJ
AIARTZA ZALLO	EAJ
ALBIZUA URRUTIKOETXEA	EAJ
ALDAITURRIAGA ZORROZUA	EAJ
ALONSO ARANEGUI	PP
ANDUEZA LORENZO	PSE-EE
ARANA VARAS	EP
ARARTEKOAK (Lamarca Iturbe)	ARARTEKO
ARARTEKOAK (Lezertua Rodríguez)	ARARTEKO
ARES TABOADA	PSE-EE
ARIETA-ARAUNABEÑA IBARZABAL	EAJ
ARRAIZ BARBADILLO	EH Bildu
ARREGI ROMARATE	EAJ
ARRIOLA LÓPEZ	PSE-EE
ARRIZABALAGA ARRUZA	EAJ
ARRIZABALAGA OLAIZOLA	EAJ
ARRONDO ALDASORO	EH Bildu
ARRUABARRENA AZPITARTE	EAJ
ARZUAGA GUMUZIO	EH Bildu
AZKUE MANTEROLA	PSE-EE
Agirre Garitaonandia, Jasone	EH Bildu
Agirre Lóopez, Xabier	EAJ/PNV
Agirrezabala Mantxola, Juanjo	EH Bildu
Aguirre Arizmendi, Iñaki	EAJ/PNV
Aiartza Zallo, Jon	EAJ/PNV
Aldaiturriaga Zorrozua, Norberto	EAJ/PNV
Aldasoro Iturbe, Aitor	EAJ/PNV
Alonso Aranegui, Alfonso	PP
Alonso Martín, Alberto	PSE-EE
Andueza Lorenzo, Eneko	PSE-EE
Angulo García, Gustavo	EP-IU
Arana Varas, Eukene	EP-IU
Ares Taboada, Rodolfo	PSE-EE
Arraiz Barbadillo, Hasier	EH Bildu
Arregi Romarate, Amaia	EAJ/PNV
Arrese Otegi, Ikoitz	EH Bildu
Arriola López, Iñaki	PSE-EE
Arrizabalaga Arruza, Leixuri	EAJ/PNV
Arrizabalaga Olaizola, María Eugenia	EAJ/PNV
Arrondo Aldasoro, Belen	EH Bildu
Arruabarrena Azpitarte, Mikel	EAJ/PNV
Artolazabal Albeniz, Beatriz	EAJ/PNV
Arzuaga Gumuzio, Julen	EH Bildu
Atutxa Sainz, Jon Andoni	EAJ/PNV
Azkue Manterola, Jon	PSE-EE
Azpiazu Uriarte, Pedro	EAJ/PNV
BARRIO BAROJA	PP
BASAGOITI PASTOR	PP
BECERRA CAROLLO	EP
BEITIALARRANGOITIA LIZARRALDE	EH Bildu
BERASALUZE LAZKANO	EAJ
BERRIOZABAL BÓVEDA	EAJ
BETOLAZA SAN MIGUEL	EAJ
BIDEGUREN GABANTXO	EH Bildu
BLANCO DE ANGULO	EH Bildu
BOLLAIN URBIETA	EP
BREÑAS GONZÁLEZ DE ZÁRATE	EH Bildu
Barrio Baroja, Carmelo	PP
Becerra Carollo, Jose Ramon	EP-IU
Beitialarrangoitia Lizarralde, Maria Angeles	EH Bildu
Beltrán de Heredia Arroniz, Estefania	EAJ/PNV
Berasaluze Lazkano, Irune	EAJ/PNV
Berriozabal Bóveda, Jone	EAJ/PNV
Berrojalbiz Zabala, Itxaso	EAJ/PNV
Betolaza San Miguel, Amaia	EAJ/PNV
Bideguren Gabantxo, Idurre	EH Bildu
Bildarratz Sorron, Jokin	EAJ/PNV
Blanco De Angulo, Eva	EH Bildu
Bollain Urbieta, Julen	EP-IU
Breñas González de Zárate, Estitxu	EH Bildu
CARRO IGLESIAS	EAJ
CASADO ABELLA (Arabako Biltzar Nagusien prokuradorea)	EH Bildu
CASANOVA ALONSO	EH Bildu
CASTELO DE SA	PSE-EE
CELAÁ DIÉGUEZ	PSE-EE
CORCUERA LEUNDA	PSE-EE
CORRALES GOTI	EAJ
Carro Iglesias, Francisco Javier	EAJ/PNV
Casanova Alonso, Iker	EH Bildu
Castelo de Sa, Alexia	PSE-EE
Celaá Diéguez, María Isabel	PSE-EE
Corcuera Leunda, Susana	PSE-EE
Corrales Goti, Leire	EAJ/PNV
DAMBORENEA BASTERRECHEA	PP
DE BENGOECHEA ESTRADE	PP
Damborenea Basterretxea, Antonio	PP
Darpón Sierra, Jon	EAJ/PNV
De Bengoechea Estrade, Juana	PP
DÍEZ ANTXUSTEGI	EAJ
Díez, Antxustegi	EAJ/PNV
EGIBAR ARTOLA	EAJ
EKONOMIAREN GARAPENA ETA LEHIAKORTASUNEKO SAILBURUAK (Tapia Otaegui)	EAJ
ELOLA AZPEITIA	PSE-EE
ENPLEGU ETA GIZARTE POLITIKAKO SAILBURUAK (Aburto Rique)	EAJ
ENPLEGU ETA GIZARTE POLITIKETAKO SAILBURUAK (Artolazabal Albeniz)	EAJ
ENPLEGU ETA GIZARTE POLITIKETAKO SAILBURUAK (Toña Guenaga)	EAJ
ERQUIAGA AGUIRRE (Arabako Biltzar Nagusien prokuradorea)	EAJ
ESTARRONA ELIZONDO	EH Bildu
ETXEBARRIETA LEGRAND	EH Bildu
ETXEBERRIA ARANBURU	EAJ
ETXEBERRIA IRADI	EH Bildu
Egibar Artola, Joseba	EAJ/PNV
Elola Azpeitia, Patxi	PSE-EE
Erkoreka Gervasio, Josu	EAJ/PNV
Estarrona Elizondo, Josu	EH Bildu
Etxebarria Astondoa, Itxaso	EH Bildu
Etxebarrieta Legrand, Oihana	EH Bildu
Etxeberria Iradi, Lur	EH Bildu
FRESNO ASENSIO	PSE-EE
Fernandez de Betoño Saenz de Lacuesta, Unai	EH Bildu
Fresno Asensio, Rosa	PSE-EE
GALLASTEGUI OYARZÁBAL	PSE-EE
GALVEZ LAVIN (Arabako Biltzar Nagusien prokuradorea)	EB
GARCÍA LARRIMBE	EP
GARRIDO KNÖRR	PP
GOIRIZELAIA ORDORIKA	EH Bildu
GOROSPE ELEZKANO	EAJ
GRAJALES RODRÍGUEZ	EAJ
GUANCHE SUÁREZ	EP
GURRUTXAGA URANGA	EAJ
Gallástegui Oyarzábal, Miren	PSE-EE
Garamendi Landa, Olatz	EAJ/PNV
Garcia Ortega, Pazis	EH Bildu
García Larrimbe, Edurne	EP-IU
Garde Ramirez, Maria	EH Bildu
Garrido Knörr, Laura	PP
Gatzagaetxebarria Bibao, Ricardo	EAJ/PNV
Gil Vegas, José Manuel	PP+Cs
Goioaga Llano	EH Bildu
Goirizelaia Ordorika, Jone	EH Bildu
González Rodríguez, Isabel	EP-IU
Gordillo Gil, Luis Ignacio	PP+Cs
Gordillo Pérez, Luis Ignacio	PP+Cs
Gorospe Elezkano, Miren Josune	EAJ/PNV
Gorrotxategi Azurmendi, Miren	EP-IU
